NME_REGION_GR,NME_CLASIFICACION_GR,produccion_total,total_region,participacion_clasificacion_region_pct
Caribe,A,64347,201994,31.8559
Caribe,A1,52413,201994,25.9478
Caribe,B,48907,201994,24.2121
Caribe,C,32408,201994,16.044
Caribe,Reconocido,3919,201994,1.9402
Centro Oriente,A,49013,168798,29.0365
Centro Oriente,B,48710,168798,28.857
Centro Oriente,C,38910,168798,23.0512
Centro Oriente,A1,28675,168798,16.9878
Centro Oriente,Reconocido,3490,168798,2.0676
Centro Sur,B,9764,31972,30.5392
Centro Sur,C,8709,31972,27.2395
Centro Sur,A,7579,31972,23.7051
Centro Sur,A1,4275,31972,13.3711
Centro Sur,Reconocido,1645,31972,5.1451
Distrito Capital,A1,128489,413229,31.0939
Distrito Capital,B,100896,413229,24.4165
Distrito Capital,A,98056,413229,23.7292
Distrito Capital,C,75452,413229,18.2591
Distrito Capital,Reconocido,10336,413229,2.5013
Eje Cafetero,A1,97334,277698,35.0503
Eje Cafetero,A,73941,277698,26.6264
Eje Cafetero,B,59988,277698,21.6019
Eje Cafetero,C,41508,277698,14.9472
Eje Cafetero,Reconocido,4927,277698,1.7742
Llano,C,5427,10714,50.6534
Llano,B,3348,10714,31.2488
Llano,A,1190,10714,11.107
Llano,A1,447,10714,4.1721
Llano,Reconocido,302,10714,2.8187
No disponible,C,3074,6833,44.9876
No disponible,B,1285,6833,18.8058
No disponible,A,1201,6833,17.5765
No disponible,Reconocido,704,6833,10.3029
No disponible,A1,569,6833,8.3272
Pacífico,A1,36067,136445,26.4334
Pacífico,A,33788,136445,24.7631
Pacífico,B,33706,136445,24.703
Pacífico,C,29907,136445,21.9187
Pacífico,Reconocido,2977,136445,2.1818
